date(yyyymmdd),hour,minute,5-min dir,5-min speed
20190302, 3, 5,126, 10.20
20190302, 3,10,140,  8.67
20190302, 3,15,142, 10.20
20190302, 3,20,142,  9.18
20190302, 3,25,141, 10.71
20190302, 3,30,143, 10.20
20190302, 3,35,138, 10.20
20190302, 3,40,144, 11.22
20190302, 3,45,141, 10.20
20190302, 3,50,138, 11.22
20190302, 3,55,144,  9.69
20190302, 3,60,141,  8.16
20190302, 4, 5,138, 10.20
20190302, 4,10,138,  8.16
20190302, 4,15,139,  8.67
20190302, 4,20,136,  9.18
20190302, 4,25,151,  9.18
20190302, 4,30,137,  8.67
20190302, 4,35,139,  8.67
20190302, 4,40,144,  8.67
20190302, 4,45,144,  9.18
20190302, 4,50,139,  9.18
20190302, 4,55,136,  9.69
20190302, 4,60,136,  8.67
20190302, 5, 5,140,  8.16
20190302, 5,10,128,  9.18
20190302, 5,15,144,  9.69
20190302, 5,20,130, 10.71
20190302, 5,25,138,  9.18
20190302, 5,30,131,  9.18
20190302, 5,35,128,  9.18
20190302, 5,40,132,  9.18
20190302, 5,45,132,  8.16
20190302, 5,50,123,  8.16
20190302, 5,55,134,  7.65
20190302, 5,60,132,  6.63
20190302, 6, 5,123,  7.65
20190302, 6,10,116,  8.67
20190302, 6,15,131,  8.67
20190302, 6,20,133,  7.14
20190302, 6,25,127,  7.65
20190302, 6,30,134,  8.16
20190302, 6,35,129,  7.14
20190302, 6,40,121,  8.16
20190302, 6,45,116,  8.16
20190302, 6,50,124,  8.67
20190302, 6,55,127,  7.65
20190302, 6,60,118,  8.16
20190302, 7, 5,126,  8.67
20190302, 7,10,133,  9.18
20190302, 7,15,126,  8.16
20190302, 7,20,118,  8.67
20190302, 7,25,130,  6.63
20190302, 7,30,127,  6.63
20190302, 7,35,132,  7.65
20190302, 7,40,130,  9.18
20190302, 7,45,119,  8.16
20190302, 7,50,116,  7.14
20190302, 7,55,133,  8.16
20190302, 7,60,144,  7.65
20190302, 8, 5,129,  8.67
20190302, 8,10,121,  8.16
20190302, 8,15,131,  8.16
20190302, 8,20,131,  7.65
20190302, 8,25,130,  8.16
20190302, 8,30,130,  8.16
20190302, 8,35,143,  7.65
20190302, 8,40,120,  7.14
20190302, 8,45,132,  7.65
20190302, 8,50,117,  8.67
20190302, 8,55,134,  9.69
20190302, 8,60,140, 10.20
20190302, 9, 5,131, 11.22
20190302, 9,10,131,  9.69
20190302, 9,15,138, 11.73
20190302, 9,20,136, 11.22
20190302, 9,25,147, 11.73
20190302, 9,30,154, 11.73
20190302, 9,35,132, 10.71
20190302, 9,40,137, 11.22
20190302, 9,45,149,  9.69
20190302, 9,50,141, 11.73
20190302, 9,55,144, 10.71
20190302, 9,60,117,  9.18
20190302,10, 5,134,  9.69
20190302,10,10,128,  8.16
20190302,10,15,124,  8.16
20190302,10,20,119, 10.20
20190302,10,25,126,  8.16
20190302,10,30,138,  6.63
20190302,10,35,143,  7.65
20190302,10,40,117,  6.63
20190302,10,45,123,  7.14
20190302,10,50,112,  7.65
20190302,10,55,116,  6.63
20190302,10,60,121,  5.61
20190302,11, 5,107,  6.12
20190302,11,10,106,  5.61
20190302,11,15,108,  6.63
20190302,11,20,113,  6.12
20190302,11,25,119,  7.14
20190302,11,30,100,  5.61
20190302,11,35, 97,  6.63
20190302,11,40,114,  6.12
20190302,11,45, 96,  6.63
20190302,11,50,113,  6.12
20190302,11,55,112,  7.14
20190302,11,60, 99,  6.63
20190302,12, 5, 99,  6.63
20190302,12,10,103,  6.63
20190302,12,15,114,  7.14
20190302,12,20,106,  7.14
20190302,12,25,109,  7.65
20190302,12,30,113,  7.65
20190302,12,35,108,  7.65
20190302,12,40,114,  7.14
20190302,12,45,110,  8.67
20190302,12,50,104,  7.14
20190302,12,55,104,  6.63
20190302,12,60,114,  6.12
20190302,13, 5,112,  7.14
20190302,13,10,113,  6.63
20190302,13,15,111,  6.63
20190302,13,20, 90,  6.12
20190302,13,25,106,  6.63
20190302,13,30,109,  6.63
20190302,13,35, 97,  6.63
20190302,13,40,102,  6.63
20190302,13,45,107,  7.14
20190302,13,50,109,  7.14
20190302,13,55,103,  5.61
20190302,13,60,120,  6.12
20190302,14, 5,124,  7.14
20190302,14,10,101,  5.61
20190302,14,15,107,  6.12
20190302,14,20,123,  6.63
20190302,14,25, 94,  5.10
20190302,14,30, 92,  5.10
20190302,14,35, 98,  6.12
20190302,14,40, 91,  6.12
20190302,14,45,100,  5.61
20190302,14,50,100,  5.61
20190302,14,55,104,  5.61
20190302,14,60, 96,  5.61
20190302,15, 5, 98,  6.63
20190302,15,10, 99,  6.12
20190302,15,15,101,  6.63
20190302,15,20, 88,  6.12
20190302,15,25, 98,  6.63
20190302,15,30,113,  6.12
20190302,15,35,100,  6.12
20190302,15,40,100,  6.12
20190302,15,45,103,  6.63
20190302,15,50,101,  5.61
20190302,15,55,102,  6.12
20190302,15,60,103,  5.10
20190302,16, 5,110,  6.12
20190302,16,10,107,  6.63
20190302,16,15,107,  5.61
20190302,16,20,101,  4.59
20190302,16,25,108,  5.10
20190302,16,30, 97,  5.61
20190302,16,35,111,  5.61
20190302,16,40,110,  6.12
20190302,16,45, 97,  5.10
20190302,16,50,112,  5.61
20190302,16,55,113,  6.12
20190302,16,60,108,  5.10
20190302,17, 5,113,  5.10
20190302,17,10, 87,  5.10
20190302,17,15, 93,  7.14
20190302,17,20, 86,  5.10
20190302,17,25, 84,  7.14
20190302,17,30, 82,  7.65
20190302,17,35, 80,  8.16
